event,rank,time,digitalTime,error,name,nationality,date,year,notes
100,,10.6,10.6,0.12,Donald Lippincott,USA,7/6/12,1912,WR
100,,10.6,10.6,0.12,Jackson Scholz,USA,9/16/20,1920,WR
100,,10.4,10.4,0.12,Charley Paddock,USA,4/23/21,1921,WR
100,,10.4,10.4,0.12,Eddie Tolan,USA,8/8/29,1929,WR
100,,10.4,10.4,0.12,Eddie Tolan,USA,8/25/29,1929,WR
100,,10.3,10.3,0.12,Percy Williams,CA,8/9/30,1930,WR
100,,10.38,10.38,0.01,Eddie Tolan,USA,8/1/32,1932,WR
100,,10.3,10.3,0.12,Ralph Metcalfe,USA,8/12/33,1933,WR
100,,10.3,10.3,0.12,Eulace Peacock,USA,8/6/34,1934,WR
100,,10.3,10.3,0.12,Chris Berger,Netherlands,8/26/34,1934,WR
100,,10.3,10.3,0.12,Ralph Metcalfe,USA,9/15/34,1934,WR
100,,10.3,10.3,0.12,Ralph Metcalfe,USA,9/23/34,1934,WR
100,,10.3,10.3,0.12,Takayoshi Yoshioka,Japan,6/15/35,1935,WR
100,,10.2,10.2,0.12,Jesse Owens,USA,9/26/36,1936,WR
100,,10.2,10.2,0.12,Harold Davis,USA,6/6/41,1941,WR
100,,10.2,10.2,0.12,Lloyd LaBeach,Panama,5/15/48,1948,WR
100,,10.35,10.35,0.01,Barney Ewell,USA,7/9/48,1948,WR
100,,10.2,10.2,0.12,McDonald Bailey,Great Britain,8/25/51,1951,WR
100,,10.2,10.2,0.12,Heinz F�tterer,West Germany,10/31/54,1954,WR
100,,10.2,10.2,0.12,Bobby Morrow,USA,5/19/56,1956,WR
100,,10.2,10.2,0.12,Ira Murchison,USA,6/1/56,1956,WR
100,,10.2,10.2,0.12,Bobby Morrow,USA,6/22/56,1956,WR
100,,10.2,10.2,0.12,Ira Murchison,USA,6/29/56,1956,WR
100,,10.2,10.2,0.12,Bobby Morrow,USA,6/29/56,1956,WR
100,,10.1,10.1,0.12,Willie Williams,USA,8/3/56,1956,WR
100,,10.1,10.1,0.12,Ira Murchison,USA,8/4/56,1956,WR
100,,10.1,10.1,0.12,Leamon King,USA,10/20/56,1956,WR
100,,10.1,10.1,0.12,Leamon King,USA,10/27/56,1956,WR
100,,10.1,10.1,0.12,Ray Norton,USA,4/18/59,1959,WR
100,,10.25,10.25,0.01,Armin Hary,West Germany,6/21/60,1960,WR
100,,10,10,0.12,Harry Jerome,Canada,7/15/60,1960,WR
100,,10,10,0.12,Horacio Esteves,Venezuela,8/15/64,1964,WR
100,,10.06,10.06,0.01,Bob Hayes,USA,10/15/64,1964,WR
100,,10.17,10.17,0.01,Jim Hines,USA,5/27/67,1967,WR
100,,10,10,0.12,Enrique Figeroa,Cuba,6/17/67,1967,WR
100,,10,10,0.12,Paul Nash,South Africa,4/2/68,1968,WR
100,,10,10,0.12,Oliver Ford,USA,5/31/68,1968,WR
100,,10.2,10.2,0.01,Charles Greene,USA,6/20/68,1968,WR
100,,10.28,10.28,0.01,Roger Bambuck,France,6/20/68,1968,WR
100,,9.9,9.9,0.12,Jim Hines,USA,6/20/68,1968,WR
100,,10.14,10.14,0.01,Ronnie Ray Smith,USA,6/20/68,1968,WR
100,,10.1,10.1,0.01,Charles Greene,USA,6/20/68,1968,WR
100,,10.03,10.03,0.01,Jim Hines,USA,10/14/68,1968,WR
100,,9.9,9.9,0.12,Eddie Hart,USA,7/1/72,1972,WR
100,,9.9,9.9,0.12,Rey Robinson,USA,7/1/72,1972,WR
100,,9.9,9.9,0.12,Steve Williams,USA,6/21/74,1974,WR
100,,9.9,9.9,0.12,Silvio Leonard,Cuba,6/5/75,1975,WR
100,,9.9,9.9,0.12,Steve Williams,USA,7/16/75,1975,WR
100,,9.9,9.9,0.12,Steve Williams,USA,8/22/75,1975,WR
100,,9.9,9.9,0.12,Steve Williams,USA,3/27/76,1976,WR
100,,9.9,9.9,0.12,Harvey Glance,USA,4/3/76,1976,WR
100,,9.9,9.9,0.12,Harvey Glance,USA,5/1/76,1976,WR
100,,9.9,9.9,0.12,Don Quarrie,Jamaica,5/22/76,1976,WR
100,,10.06,10.06,0.01,Bob Hayes,USA,10/15/64,1964,WR
100,,10.03,10.03,0.01,Jim Hines,USA,6/20/68,1968,WR
100,,10.02,10.02,0.01,Charles Greene,USA,10/13/68,1968,WR
100,,9.95,9.95,0.01,Jim Hines,USA,10/14/68,1968,WR
100,,9.93,9.93,0.01,Calvin Smith,USA,7/3/83,1983,WR
100,,9.93,9.93,0.01,Carl Lewis,USA,8/30/87,1987,WR
100,,9.93,9.93,0.01,Carl Lewis,USA,8/17/88,1988,WR
100,,9.9,9.9,0.01,Leroy Burrell,USA,7/14/91,1991,WR
100,,9.86,9.86,0.01,Carl Lewis,USA,8/25/91,1991,WR
100,,9.85,9.85,0.01,Leroy Burrell,USA,7/6/94,1994,WR
100,,9.84,9.84,0.01,Donavan Bailey,Canada,7/27/96,1996,WR
100,,9.79,9.79,0.01,Maurice Greene,USA,7/16/99,1999,WR
100,,9.77,9.77,0.01,Asafa Powell,Jamaica,7/14/05,2005,WR
100,,9.77,9.77,0.01,Asafa Powell,Jamaica,6/11/06,2006,WR
100,,9.77,9.77,0.01,Asafa Powell,Jamaica,8/18/06,2006,WR
100,,9.74,9.74,0.01,Asafa Powell,Jamaica,9/9/07,2007,WR
100,,9.72,9.72,0.01,Usain Bolt,Jamaica,5/31/08,2008,WR
100,,9.69,9.69,0.01,Usain Bolt,Jamaica,8/16/08,2008,WR
100,,9.58,9.58,0.01,Usain Bolt,Jamaica,8/16/09,2009,WR
100,,9.75,9.75,0.01,Tyson Gay,USA,2013-06-21T00:00:00Z,2013,doping
100,,9.77,9.77,0.01,Justin Gatlin,USA,2006-05-12T00:00:00Z,2006,doping
100,,9.78,9.78,0.01,Tim Montgomery,USA,2002-09-14T00:00:00Z,2002,doping
100,,9.79,9.79,0.01,Ben Johnson,CAN,1988-09-24T00:00:00Z,1988,doping
100,,9.79,9.79,0.01,Tyson Gay,USA,2013-07-04T00:00:00Z,2013,doping
100,,9.8,9.8,0.01,Tyson Gay,USA,2012-08-05T00:00:00Z,2012,doping
100,,9.83,9.83,0.01,Ben Johnson,CAN,1987-08-30T00:00:00Z,1987,doping
100,,9.83,9.83,0.01,Tyson Gay,USA,2012-08-23T00:00:00Z,2012,doping
100,,9.84,9.84,0.01,Tim Montgomery,USA,2001-07-13T00:00:00Z,2001,doping
100,,9.85,9.85,0.01,Tim Montgomery,USA,2001-08-05T00:00:00Z,2001,doping
100,,9.86,9.86,0.01,Justin Gatlin,USA,2006-05-12T00:00:00Z,2006,doping
100,,9.87,9.87,0.01,Dwain Chambers,GBR,2002-09-14T00:00:00Z,2002,doping
100,,9.87,9.87,0.01,Justin Gatlin,USA,2006-06-03T00:00:00Z,2006,doping
100,,9.88,9.88,0.01,Justin Gatlin,USA,2006-05-28T00:00:00Z,2006,doping
100,,9.88,9.88,0.01,Asafa Powell,JAM,2013-07-04T00:00:00Z,2013,doping
100,,9.9,9.9,0.01,Tim Montgomery,USA,2001-08-17T00:00:00Z,2001,doping
100,,9.9,9.9,0.01,Tyson Gay,USA,2012-08-05T00:00:00Z,2012,doping
100,,9.91,9.91,0.01,Tim Montgomery,USA,2002-08-30T00:00:00Z,2002,doping
100,,9.93,9.93,0.01,Tim Montgomery,USA,2002-08-16T00:00:00Z,2002,doping
100,,9.93,9.93,0.01,Justin Gatlin,USA,2006-06-23T00:00:00Z,2006,doping
100,,9.93,9.93,0.01,Yohan Blake,JAM,2009-07-17T00:00:00Z,2009,doping
100,,9.93,9.93,0.01,Steve Mullings,JAM,2011-07-30T00:00:00Z,2011,doping
100,,9.94,9.94,0.01,Tim Montgomery,USA,2002-04-12T00:00:00Z,2002,doping
100,,9.94,9.94,0.01,Tim Montgomery,USA,2002-07-12T00:00:00Z,2002,doping
100,,9.94,9.94,0.01,Dwain Chambers,GBR,2002-08-16T00:00:00Z,2002,doping
100,,9.95,9.95,0.01,Ben Johnson,CAN,1986-07-09T00:00:00Z,1986,doping
100,,9.95,9.95,0.01,Ben Johnson,CAN,1987-08-16T00:00:00Z,1987,doping
100,,9.95,9.95,0.01,Tim Montgomery,USA,2002-05-11T00:00:00Z,2002,doping
100,,9.95,9.95,0.01,Justin Gatlin,USA,2006-05-06T00:00:00Z,2006,doping
100,,9.96,9.96,0.01,Tim Montgomery,USA,2001-08-24T00:00:00Z,2001,doping
100,,9.96,9.96,0.01,Dwain Chambers,GBR,2002-08-07T00:00:00Z,2002,doping
100,,9.96,9.96,0.01,Yohan Blake,JAM,2009-07-10T00:00:00Z,2009,doping
100,,9.96,9.96,0.01,Steve Mullings,JAM,2011-06-24T00:00:00Z,2011,doping
100,,9.96,9.96,0.01,Mike Rodgers,USA,2011-07-22T00:00:00Z,2011,doping
100,,9.97,9.97,0.01,Ben Johnson,CAN,1987-08-19T00:00:00Z,1987,doping
100,,9.98,9.98,0.01,Ben Johnson,CAN,1987-08-01T00:00:00Z,1987,doping
100,,9.98,9.98,0.01,Ben Johnson,CAN,1988-08-11T00:00:00Z,1988,doping
100,,9.98,9.98,0.01,Tim Montgomery,USA,2002-08-16T00:00:00Z,2002,doping
100,,9.98,9.98,0.01,Dwain Chambers,GBR,2002-08-23T00:00:00Z,2002,doping
100,,9.98,9.98,0.01,Steve Mullings,JAM,2011-07-19T00:00:00Z,2011,doping
100,,9.99,9.99,0.01,Justin Gatlin,USA,2006-06-23T00:00:00Z,2006,doping
100,,10,10,0.01,Ben Johnson,CAN,1985-10-04T00:00:00Z,1985,doping
100,,10,10,0.01,Ben Johnson,CAN,1987-08-13T00:00:00Z,1987,doping
100,,10,10,0.01,Ben Johnson,CAN,1988-08-17T00:00:00Z,1988,doping
100,,10.01,10.01,0.01,Ben Johnson,CAN,1986-05-31T00:00:00Z,1986,doping
100,,10.01,10.01,0.01,Tim Montgomery,USA,2001-07-04T00:00:00Z,2001,doping
100,,10.02,10.02,0.01,Ben Johnson,CAN,1986-09-10T00:00:00Z,1986,doping
100,,10.02,10.02,0.01,Ben Johnson,CAN,1987-06-05T00:00:00Z,1987,doping
100,,10.02,10.02,0.01,Horace Dove-Edwin,SLE,1994-08-23T00:00:00Z,1994,doping
100,,10.02,10.02,0.01,Dennis Mitchell,USA,1998-06-19T00:00:00Z,1998,doping
100,,10.02,10.02,0.01,Dennis Mitchell,USA,1999-07-26T00:00:00Z,1999,doping
100,,10.02,10.02,0.01,Dwain Chambers,GBR,2002-09-06T00:00:00Z,2002,doping
100,,10.02,10.02,0.01,Justin Gatlin,USA,2006-06-23T00:00:00Z,2006,doping
100,,10.02,10.02,0.01,Asafa Powell,JAM,2013-06-20T00:00:00Z,2013,doping
100,,10.03,10.03,0.01,Ben Johnson,CAN,1986-08-13T00:00:00Z,1986,doping
100,,10.03,10.03,0.01,Ben Johnson,CAN,1988-09-24T00:00:00Z,1988,doping
100,,10.03,10.03,0.01,Dennis Mitchell,USA,1999-07-07T00:00:00Z,1999,doping
100,,10.03,10.03,0.01,Tim Montgomery,USA,2002-04-19T00:00:00Z,2002,doping
100,,10.03,10.03,0.01,Dwain Chambers,GBR,2002-06-15T00:00:00Z,2002,doping
100,,10.03,10.03,0.01,Dwain Chambers,GBR,2003-06-24T00:00:00Z,2003,doping
100,,10.03,10.03,0.01,Dwain Chambers,GBR,2003-08-24T00:00:00Z,2003,doping
100,,10.04,10.04,0.01,Ben Johnson,CAN,1985-09-20T00:00:00Z,1985,doping
100,,10.04,10.04,0.01,Dennis Mitchell,USA,1999-06-16T00:00:00Z,1999,doping
100,,10.04,10.04,0.01,Tim Montgomery,USA,2001-07-06T00:00:00Z,2001,doping
100,,10.04,10.04,0.01,Dwain Chambers,GBR,2002-06-22T00:00:00Z,2002,doping
100,,10.04,10.04,0.01,Tim Montgomery,USA,2002-07-16T00:00:00Z,2002,doping
100,,10.04,10.04,0.01,Tim Montgomery,USA,2003-05-03T00:00:00Z,2003,doping
100,,10.04,10.04,0.01,Tim Montgomery,USA,2003-05-10T00:00:00Z,2003,doping
100,,10.04,10.04,0.01,Tim Montgomery,USA,2003-06-19T00:00:00Z,2003,doping
100,,10.04,10.04,0.01,Tim Montgomery,USA,2003-08-24T00:00:00Z,2003,doping
100,,10.04,10.04,0.01,Mickey Grimes,USA,2004-06-19T00:00:00Z,2004,doping
100,,10.04,10.04,0.01,Steve Mullings,JAM,2004-06-26T00:00:00Z,2004,doping
100,,10.04,10.04,0.01,Mike Rodgers,USA,2011-08-05T00:00:00Z,2011,doping
100,,10.05,10.05,0.01,Ben Johnson,CAN,1987-08-10T00:00:00Z,1987,doping
100,,10.05,10.05,0.01,Dennis Mitchell,USA,1998-06-19T00:00:00Z,1998,doping
100,,10.05,10.05,0.01,Dennis Mitchell,USA,1999-06-13T00:00:00Z,1999,doping
100,,10.05,10.05,0.01,Dennis Mitchell,USA,1999-06-25T00:00:00Z,1999,doping
100,,10.05,10.05,0.01,Dennis Mitchell,USA,1999-07-30T00:00:00Z,1999,doping
100,,10.05,10.05,0.01,Justin Gatlin,USA,2002-04-06T00:00:00Z,2002,doping
100,,10.05,10.05,0.01,Justin Gatlin,USA,2002-05-31T00:00:00Z,2002,doping
100,,10.05,10.05,0.01,Dwain Chambers,GBR,2002-06-28T00:00:00Z,2002,doping
100,,10.05,10.05,0.01,Dwain Chambers,GBR,2002-08-16T00:00:00Z,2002,doping
100,,10.05,10.05,0.01,Tim Montgomery,USA,2002-08-23T00:00:00Z,2002,doping
100,,10.05,10.05,0.01,Yohan Blake,JAM,2009-07-10T00:00:00Z,2009,doping
100,,10.05,10.05,0.01,Asafa Powell,JAM,2013-06-21T00:00:00Z,2013,doping
100,,10.06,10.06,0.01,Ben Johnson,CAN,1986-05-24T00:00:00Z,1986,doping
100,,10.06,10.06,0.01,Ben Johnson,CAN,1986-07-18T00:00:00Z,1986,doping
100,,10.06,10.06,0.01,Ben Johnson,CAN,1986-09-05T00:00:00Z,1986,doping
100,,10.06,10.06,0.01,Ben Johnson,CAN,1987-05-28T00:00:00Z,1987,doping
100,,10.06,10.06,0.01,Dwain Chambers,GBR,2002-07-27T00:00:00Z,2002,doping
100,,10.06,10.06,0.01,Dwain Chambers,GBR,2003-08-08T00:00:00Z,2003,doping
100,,10.06,10.06,0.01,Dwain Chambers,GBR,2003-08-25T00:00:00Z,2003,doping
100,,10.06,10.06,0.01,Asafa Powell,JAM,2013-06-27T00:00:00Z,2013,doping
100,,10.07,10.07,0.01,Ben Johnson,CAN,1986-06-21T00:00:00Z,1986,doping
100,,10.07,10.07,0.01,Ben Johnson,CAN,1986-07-27T00:00:00Z,1986,doping
100,,10.07,10.07,0.01,Ben Johnson,CAN,1987-06-20T00:00:00Z,1987,doping
100,,10.07,10.07,0.01,Tim Montgomery,USA,2001-08-05T00:00:00Z,2001,doping
100,,10.07,10.07,0.01,Justin Gatlin,USA,2002-05-11T00:00:00Z,2002,doping
100,,10.07,10.07,0.01,Tim Montgomery,USA,2003-08-24T00:00:00Z,2003,doping
100,,10.07,10.07,0.01,Marvin Anderson,JAM,2009-06-27T00:00:00Z,2009,doping
100,,10.07,10.07,0.01,Mike Rodgers,USA,2011-08-05T00:00:00Z,2011,doping
100,,10.08,10.08,0.01,Dennis Mitchell,USA,1999-06-16T00:00:00Z,1999,doping
100,,10.08,10.08,0.01,Tim Montgomery,USA,2001-06-21T00:00:00Z,2001,doping
100,,10.08,10.08,0.01,Patrick Jarrett,JAM,2001-06-22T00:00:00Z,2001,doping
100,,10.08,10.08,0.01,Tim Montgomery,USA,2001-08-17T00:00:00Z,2001,doping
100,,10.08,10.08,0.01,Dwain Chambers,GBR,2002-04-21T00:00:00Z,2002,doping
100,,10.08,10.08,0.01,Dwain Chambers,GBR,2002-06-10T00:00:00Z,2002,doping
100,,10.08,10.08,0.01,Tim Montgomery,USA,2002-07-05T00:00:00Z,2002,doping
100,,10.08,10.08,0.01,Tim Montgomery,USA,2002-07-16T00:00:00Z,2002,doping
100,,10.08,10.08,0.01,Dwain Chambers,GBR,2002-08-06T00:00:00Z,2002,doping
100,,10.08,10.08,0.01,Dwain Chambers,GBR,2003-07-26T00:00:00Z,2003,doping
100,,10.08,10.08,0.01,Mickey Grimes,USA,2003-08-05T00:00:00Z,2003,doping
100,,10.08,10.08,0.01,Dwain Chambers,GBR,2003-08-25T00:00:00Z,2003,doping
100,,10.08,10.08,0.01,Tim Montgomery,USA,2004-04-24T00:00:00Z,2004,doping
100,,10.08,10.08,0.01,Samuel Francis,QAT,2013-05-10T00:00:00Z,2013,doping
100,,10.09,10.09,0.01,Ben Johnson,CAN,1986-05-24T00:00:00Z,1986,doping
100,,10.09,10.09,0.01,Dennis Mitchell,USA,1999-06-06T00:00:00Z,1999,doping
100,,10.09,10.09,0.01,Dennis Mitchell,USA,1999-08-02T00:00:00Z,1999,doping
100,,10.09,10.09,0.01,Dwain Chambers,GBR,2003-07-11T00:00:00Z,2003,doping
100,,10.09,10.09,0.01,Yohan Blake,JAM,2009-06-27T00:00:00Z,2009,doping
100,,10.09,10.09,0.01,Mike Rodgers,USA,2011-07-19T00:00:00Z,2011,doping
100,1,9.58,9.58,0.01,Usain Bolt,JAM,2009-08-16T00:00:00Z,2009,AT
100,2,9.63,9.63,0.01,Usain Bolt,JAM,2012-08-05T00:00:00Z,2012,AT
100,3,9.69,9.69,0.01,Usain Bolt,JAM,2008-08-16T00:00:00Z,2008,AT
100,3,9.69,9.69,0.01,Tyson Gay,USA,2009-09-20T00:00:00Z,2009,AT
100,3,9.69,9.69,0.01,Yohan Blake,JAM,2012-08-23T00:00:00Z,2012,AT
100,6,9.71,9.71,0.01,Tyson Gay,USA,2009-08-16T00:00:00Z,2009,AT
100,7,9.72,9.72,0.01,Usain Bolt,JAM,2008-05-31T00:00:00Z,2008,AT
100,7,9.72,9.72,0.01,Asafa Powell,JAM,2008-09-02T00:00:00Z,2008,AT
100,9,9.74,9.74,0.01,Asafa Powell,JAM,2007-09-09T00:00:00Z,2007,AT
100,9,9.74,9.74,0.01,Justin Gatlin,USA,2015-05-15T00:00:00Z,2015,AT
100,11,9.75,9.75,0.01,Yohan Blake,JAM,2012-06-29T00:00:00Z,2012,AT
100,11,9.75,9.75,0.01,Yohan Blake,JAM,2012-08-05T00:00:00Z,2012,AT
100,11,9.75,9.75,0.01,Justin Gatlin,USA,2015-06-04T00:00:00Z,2015,AT
100,11,9.75,9.75,0.01,Justin Gatlin,USA,2015-07-09T00:00:00Z,2015,AT
100,15,9.76,9.76,0.01,Usain Bolt,JAM,2008-05-03T00:00:00Z,2008,AT
100,15,9.76,9.76,0.01,Usain Bolt,JAM,2011-09-16T00:00:00Z,2011,AT
100,15,9.76,9.76,0.01,Usain Bolt,JAM,2012-05-31T00:00:00Z,2012,AT
100,15,9.76,9.76,0.01,Yohan Blake,JAM,2012-08-30T00:00:00Z,2012,AT
100,19,9.77,9.77,0.01,Asafa Powell,JAM,2005-06-14T00:00:00Z,2005,AT
100,19,9.77,9.77,0.01,Asafa Powell,JAM,2006-06-11T00:00:00Z,2006,AT
100,19,9.77,9.77,0.01,Asafa Powell,JAM,2006-08-18T00:00:00Z,2006,AT
100,19,9.77,9.77,0.01,Tyson Gay,USA,2008-06-28T00:00:00Z,2008,AT
100,19,9.77,9.77,0.01,Usain Bolt,JAM,2008-09-05T00:00:00Z,2008,AT
100,19,9.77,9.77,0.01,Asafa Powell,JAM,2008-09-07T00:00:00Z,2008,AT
100,19,9.77,9.77,0.01,Tyson Gay,USA,2009-07-10T00:00:00Z,2009,AT
100,19,9.77,9.77,0.01,Usain Bolt,JAM,2013-08-11T00:00:00Z,2013,AT
100,19,9.77,9.77,0.01,Justin Gatlin,USA,2014-09-05T00:00:00Z,2014,AT
100,19,9.77,9.77,0.01,Justin Gatlin,USA,2015-08-23T00:00:00Z,2015,AT
100,29,9.78,9.78,0.01,Asafa Powell,JAM,2007-09-09T00:00:00Z,2007,AT
100,29,9.78,9.78,0.01,Tyson Gay,USA,2010-08-13T00:00:00Z,2010,AT
100,29,9.78,9.78,0.01,Nesta Carter,JAM,2010-08-29T00:00:00Z,2010,AT
100,29,9.78,9.78,0.01,Asafa Powell,JAM,2011-06-30T00:00:00Z,2011,AT
100,29,9.78,9.78,0.01,Justin Gatlin,USA,2015-07-17T00:00:00Z,2015,AT
100,34,9.79,9.79,0.01,Maurice Greene,USA,1999-06-16T00:00:00Z,1999,AT
100,34,9.79,9.79,0.01,Usain Bolt,JAM,2009-07-17T00:00:00Z,2009,AT
100,34,9.79,9.79,0.01,Tyson Gay,USA,2010-08-27T00:00:00Z,2010,AT
100,34,9.79,9.79,0.01,Tyson Gay,USA,2011-06-04T00:00:00Z,2011,AT
100,34,9.79,9.79,0.01,Usain Bolt,JAM,2012-06-07T00:00:00Z,2012,AT
100,34,9.79,9.79,0.01,Justin Gatlin,USA,2012-08-05T00:00:00Z,2012,AT
100,34,9.79,9.79,0.01,Usain Bolt,JAM,2015-08-23T00:00:00Z,2015,AT
100,41,9.8,9.8,0.01,Maurice Greene,USA,1999-08-22T00:00:00Z,1999,AT
100,41,9.8,9.8,0.01,Steve Mullings,JAM,2011-06-04T00:00:00Z,2011,AT
100,41,9.8,9.8,0.01,Justin Gatlin,USA,2012-06-24T00:00:00Z,2012,AT
100,41,9.8,9.8,0.01,Usain Bolt,JAM,2013-09-06T00:00:00Z,2013,AT
100,41,9.8,9.8,0.01,Justin Gatlin,USA,2014-07-03T00:00:00Z,2014,AT
100,41,9.8,9.8,0.01,Justin Gatlin,USA,2015-08-23T00:00:00Z,2015,AT
100,41,9.8,9.8,0.01,Justin Gatlin,USA,2016-07-03T00:00:00Z,2016,AT
100,48,9.81,9.81,0.01,Usain Bolt,JAM,2009-08-28T00:00:00Z,2009,AT
100,48,9.81,9.81,0.01,Asafa Powell,JAM,2015-07-04T00:00:00Z,2015,AT
100,48,9.81,9.81,0.01,Usain Bolt,JAM,2016-08-14T00:00:00Z,2016,AT
100,51,9.82,9.82,0.01,Maurice Greene,USA,2001-08-05T00:00:00Z,2001,AT
100,51,9.82,9.82,0.01,Asafa Powell,JAM,2008-07-29T00:00:00Z,2008,AT
100,51,9.82,9.82,0.01,Asafa Powell,JAM,2008-09-07T00:00:00Z,2008,AT
100,51,9.82,9.82,0.01,Asafa Powell,JAM,2009-09-15T00:00:00Z,2009,AT
100,51,9.82,9.82,0.01,Asafa Powell,JAM,2010-06-10T00:00:00Z,2010,AT
100,51,9.82,9.82,0.01,Usain Bolt,JAM,2010-07-08T00:00:00Z,2010,AT
100,51,9.82,9.82,0.01,Yohan Blake,JAM,2011-09-08T00:00:00Z,2011,AT
100,51,9.82,9.82,0.01,Yohan Blake,JAM,2011-09-11T00:00:00Z,2011,AT
100,51,9.82,9.82,0.01,Usain Bolt,JAM,2012-05-05T00:00:00Z,2012,AT
100,51,9.82,9.82,0.01,Justin Gatlin,USA,2012-08-05T00:00:00Z,2012,AT
100,51,9.82,9.82,0.01,Richard Thompson,TTO,2014-06-21T00:00:00Z,2014,AT
100,51,9.82,9.82,0.01,Justin Gatlin,USA,2014-07-14T00:00:00Z,2014,AT
100,51,9.82,9.82,0.01,Christian Coleman,USA,2017-06-07T00:00:00Z,2017,AT
100,64,9.83,9.83,0.01,Asafa Powell,JAM,2007-09-22T00:00:00Z,2007,AT
100,64,9.83,9.83,0.01,Usain Bolt,JAM,2008-08-29T00:00:00Z,2008,AT
100,64,9.83,9.83,0.01,Asafa Powell,JAM,2008-09-05T00:00:00Z,2008,AT
100,64,9.83,9.83,0.01,Asafa Powell,JAM,2010-05-27T00:00:00Z,2010,AT
100,64,9.83,9.83,0.01,Justin Gatlin,USA,2014-09-07T00:00:00Z,2014,AT
100,64,9.83,9.83,0.01,Justin Gatlin,USA,2016-07-03T00:00:00Z,2016,AT
100,70,9.84,9.84,0.01,Donovan Bailey,CAN,1996-07-27T00:00:00Z,1996,AT
100,70,9.84,9.84,0.01,Bruny Surin,CAN,1999-08-22T00:00:00Z,1999,AT
100,70,9.84,9.84,0.01,Asafa Powell,JAM,2005-05-07T00:00:00Z,2005,AT
100,70,9.84,9.84,0.01,Tyson Gay,USA,2006-08-18T00:00:00Z,2006,AT
100,70,9.84,9.84,0.01,Tyson Gay,USA,2007-06-22T00:00:00Z,2007,AT
100,70,9.84,9.84,0.01,Asafa Powell,JAM,2007-09-14T00:00:00Z,2007,AT
100,70,9.84,9.84,0.01,Asafa Powell,JAM,2009-08-16T00:00:00Z,2009,AT
100,70,9.84,9.84,0.01,Usain Bolt,JAM,2010-07-16T00:00:00Z,2010,AT
100,70,9.84,9.84,0.01,Tyson Gay,USA,2010-08-06T00:00:00Z,2010,AT
100,70,9.84,9.84,0.01,Yohan Blake,JAM,2012-05-09T00:00:00Z,2012,AT
100,70,9.84,9.84,0.01,Asafa Powell,JAM,2015-05-09T00:00:00Z,2015,AT
100,70,9.84,9.84,0.01,Trayvon Bromell,USA,2015-06-25T00:00:00Z,2015,AT
100,70,9.84,9.84,0.01,Asafa Powell,JAM,2015-06-26T00:00:00Z,2015,AT
100,70,9.84,9.84,0.01,Trayvon Bromell,USA,2016-07-03T00:00:00Z,2016,AT
100,84,9.85,9.85,0.01,Leroy Burrell,USA,1994-07-06T00:00:00Z,1994,AT
100,84,9.85,9.85,0.01,Maurice Greene,USA,1999-07-07T00:00:00Z,1999,AT
100,84,9.85,9.85,0.01,Justin Gatlin,USA,2004-08-22T00:00:00Z,2004,AT
100,84,9.85,9.85,0.01,Asafa Powell,JAM,2005-06-09T00:00:00Z,2005,AT
100,84,9.85,9.85,0.01,Adekotunbo Olusoji Fasuba,NGR,2006-05-12T00:00:00Z,2006,AT
100,84,9.85,9.85,0.01,Asafa Powell,JAM,2006-07-08T00:00:00Z,2006,AT
100,84,9.85,9.85,0.01,Asafa Powell,JAM,2006-07-14T00:00:00Z,2006,AT
100,84,9.85,9.85,0.01,Tyson Gay,USA,2007-08-26T00:00:00Z,2007,AT
100,84,9.85,9.85,0.01,Tyson Gay,USA,2008-05-31T00:00:00Z,2008,AT
100,84,9.85,9.85,0.01,Usain Bolt,JAM,2008-06-28T00:00:00Z,2008,AT
100,84,9.85,9.85,0.01,Usain Bolt,JAM,2008-08-16T00:00:00Z,2008,AT
100,84,9.85,9.85,0.01,Asafa Powell,JAM,2009-09-20T00:00:00Z,2009,AT
100,84,9.85,9.85,0.01,Nesta Carter,JAM,2010-08-27T00:00:00Z,2010,AT
100,84,9.85,9.85,0.01,Mike Rodgers,USA,2011-06-04T00:00:00Z,2011,AT
100,84,9.85,9.85,0.01,Richard Thompson,TTO,2011-08-13T00:00:00Z,2011,AT
100,84,9.85,9.85,0.01,Usain Bolt,JAM,2011-09-13T00:00:00Z,2011,AT
100,84,9.85,9.85,0.01,Asafa Powell,JAM,2012-06-07T00:00:00Z,2012,AT
100,84,9.85,9.85,0.01,Yohan Blake,JAM,2012-07-17T00:00:00Z,2012,AT
100,84,9.85,9.85,0.01,Yohan Blake,JAM,2012-08-05T00:00:00Z,2012,AT
100,84,9.85,9.85,0.01,Usain Bolt,JAM,2013-07-26T00:00:00Z,2013,AT
100,84,9.85,9.85,0.01,Justin Gatlin,USA,2013-08-11T00:00:00Z,2013,AT
100,105,9.86,9.86,0.01,Carl Lewis,USA,1991-08-25T00:00:00Z,1991,AT
100,105,9.86,9.86,0.01,Frank Fredericks,NAM,1996-07-03T00:00:00Z,1996,AT
100,105,9.86,9.86,0.01,Maurice Greene,USA,1997-08-03T00:00:00Z,1997,AT
100,105,9.86,9.86,0.01,Ato Boldon,TTO,1998-04-19T00:00:00Z,1998,AT
100,105,9.86,9.86,0.01,Ato Boldon,TTO,1998-06-17T00:00:00Z,1998,AT
